terror,level,source,target,weight,time
aq,1,e713575dd66f872f,5d45c45ff40e11c2,1.50517069,2019-06-29 21:26:53
aq,2,5d45c45ff40e11c2,5d45c45ff40e11c2,3.8228341,2019-06-30 21:07:15
aq,2,5d45c45ff40e11c2,5d45c45ff40e11c2,1.85119989,2019-06-26 22:25:21
aq,2,0616069beb3785b4,5d45c45ff40e11c2,1.51790183,2019-06-29 21:26:53
aq,2,fc8137b24d8c0ff3,fc8137b24d8c0ff3,1.51119524,2019-06-28 21:21:48
aq,2,27daf3f7cfc68120,27daf3f7cfc68120,1.5089634,2019-06-28 21:21:48
aq,2,e713575dd66f872f,e713575dd66f872f,1.50612021,2019-06-28 21:21:48
aq,0,960b7f7565d4fbfc,exchange4,0.7,2019-06-29 21:25:40
aq,1,660e6a642a402737,960b7f7565d4fbfc,0.44585484,2019-06-16 16:57:26
aq,1,0001414ae277922a,960b7f7565d4fbfc,0.26774365,2019-05-27 19:50:36
aq,2,36d00b7e20ca64d2,660e6a642a402737,148.43670875,2019-06-16 16:57:26
aq,2,b1f96f287aee68bf,0001414ae277922a,0.18318291,2019-05-27 19:09:15
aq,2,00000b55c1bcbc1f,0001414ae277922a,0.0995,2019-05-27 18:45:09
aq,0,fa90486117567b35,exchange4,0.25592899,2019-06-22 23:47:08
aq,1,afb6f65dd1f8deee,fa90486117567b35,0.2370612,2019-06-22 10:44:54
aq,1,58c793440b6f12de,fa90486117567b35,0.1994988,2019-06-22 09:28:44
aq,2,759cbe00b11a4a10,afb6f65dd1f8deee,0.7499857,2019-06-22 10:33:12
aq,2,86bb2737ee1ff196,58c793440b6f12de,2.7304194,2019-06-22 09:00:13
aq,0,083dcd9e4b944061,exchange4,0.12,2019-06-02 20:03:59
aq,1,9b00a0fe8eca8537,083dcd9e4b944061,6.35881139,2019-06-02 19:57:34
aq,2,08f9ae937dd35699,9b00a0fe8eca8537,6.66803826,2019-06-02 19:37:14
aq,0,5bc5ea2d130c5bad,exchange4,0.30259122,2019-06-03 03:52:47
aq,1,5bc5ea2d130c5bad,5bc5ea2d130c5bad,0.34327682,2019-03-17 21:12:39
aq,1,00000d543a669a0e,5bc5ea2d130c5bad,0.09683245,2019-05-18 05:59:49
aq,1,0000044b60b2c25d,5bc5ea2d130c5bad,0.08573332,2019-05-29 06:48:55
aq,1,000004950069154a,5bc5ea2d130c5bad,0.04613207,2019-05-31 05:26:19
aq,1,000004950069154a,5bc5ea2d130c5bad,0.03502784,2019-06-02 05:45:17
aq,2,Virtual Currency Exchange 11,5bc5ea2d130c5bad,0.4665393,2019-03-16 23:39:42
aq,2,Virtual Currency Exchange 11,5bc5ea2d130c5bad,0.05246943,2019-03-15 07:16:23
aq,2,5bc5ea2d130c5bad,5bc5ea2d130c5bad,0.00316583,2019-03-10 21:10:58
aq,2,04cb0ddc3236b7d3,00000d543a669a0e,0.32220539,2019-05-17 18:50:26
aq,2,0000044b60b2c25d,0000044b60b2c25d,227.26448923,2019-05-27 16:34:36
aq,2,ff2645ba5e2e6866,0000044b60b2c25d,0.0292,2019-05-29 05:53:40
aq,2,ff2645ba5e2e6866,0000044b60b2c25d,0.05,2019-05-29 05:53:40
aq,2,edea818ca9aa7174,0000044b60b2c25d,0.01613697,2019-05-29 05:53:40
aq,2,50c539b8bac31a62,0000044b60b2c25d,0.0454,2019-05-29 05:53:40
aq,2,0747ebc78f387e43,0000044b60b2c25d,0.035529,2019-05-29 05:53:40
aq,2,00df088fedf58911,0000044b60b2c25d,0.0524,2019-05-29 05:53:40
aq,2,c31199d31efcdd5b,0000044b60b2c25d,0.039428,2019-05-29 05:53:40
aq,2,5ca1f4b5c510ee27,0000044b60b2c25d,0.035327,2019-05-29 05:53:40
aq,2,9a0db00f3b9f63cb,0000044b60b2c25d,0.0494,2019-05-29 05:53:40
aq,2,429bbee60a8ac78d,0000044b60b2c25d,0.0494,2019-05-29 05:53:40
aq,2,7f414f17458ec1ae,0000044b60b2c25d,0.040601,2019-05-29 05:53:40
aq,2,2d9d5368014244a0,0000044b60b2c25d,0.04108,2019-05-29 05:53:40
aq,2,8478b9378a42ceb8,0000044b60b2c25d,0.016937,2019-05-29 05:53:40
aq,2,da8bcb18c0df6719,0000044b60b2c25d,0.014502,2019-05-29 05:53:40
aq,2,5c49b444c2683eda,0000044b60b2c25d,0.020733,2019-05-29 05:53:40
aq,2,953c9a105e95c693,0000044b60b2c25d,0.023462,2019-05-29 05:53:40
aq,2,0008c07be1f8da3b,0000044b60b2c25d,0.02832795,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.02102101,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01453387,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.02384463,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01419323,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01521514,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.0396275,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01192231,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.04326097,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01305777,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.0123765,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01203586,2019-05-29 05:53:40
aq,2,0010e12165d91260,0000044b60b2c25d,0.01135458,2019-05-29 05:53:40
aq,2,00006e040565b265,0000044b60b2c25d,0.04384347,2019-05-29 05:53:40
aq,2,acb8924816ec1fc2,0000044b60b2c25d,0.0299587,2019-05-29 05:53:40
aq,2,00001bd1e9bc3c71,0000044b60b2c25d,0.01105748,2019-05-29 06:11:58
aq,2,142fa397f8a014d0,0000044b60b2c25d,0.016103,2019-05-29 06:11:58
aq,2,811358a6a6c035c6,0000044b60b2c25d,0.0394,2019-05-29 06:11:58
aq,2,41587ab7066ff4e9,0000044b60b2c25d,0.020985,2019-05-29 06:11:58
aq,2,821c0d2ea5c2b34f,0000044b60b2c25d,0.053034,2019-05-29 06:11:58
aq,2,60f444ce3add4a71,0000044b60b2c25d,0.040019,2019-05-29 06:11:58
aq,2,90fa06059b05c976,0000044b60b2c25d,0.0104,2019-05-29 06:11:58
aq,2,3f087b7663239e53,0000044b60b2c25d,0.049267,2019-05-29 06:11:58
aq,2,b61e018e56c5a3fb,0000044b60b2c25d,0.049705,2019-05-29 06:11:58
aq,2,729564b0929d4bcf,0000044b60b2c25d,0.040744,2019-05-29 06:11:58
aq,2,43c4cbd276772f0a,0000044b60b2c25d,0.01804065,2019-05-29 06:11:58
aq,2,e08acf30e6eadf8b,0000044b60b2c25d,0.041026,2019-05-29 06:11:58
aq,2,0cb4f25e797c382f,0000044b60b2c25d,0.035729,2019-05-29 06:11:58
aq,2,a1b19495849f941f,0000044b60b2c25d,0.0294,2019-05-29 06:11:58
aq,2,f01722787e74e0f2,0000044b60b2c25d,0.011345,2019-05-29 06:11:58
aq,2,2781a19fc28916eb,0000044b60b2c25d,0.040762,2019-05-29 06:11:58
aq,2,9af376843255aa58,0000044b60b2c25d,0.013272,2019-05-29 06:11:58
aq,2,2552487475c547a1,0000044b60b2c25d,0.0194,2019-05-29 06:11:58
aq,2,62a4368fbb46c7a3,0000044b60b2c25d,0.024283,2019-05-29 06:11:58
aq,2,0035228d1f6b8bba,0000044b60b2c25d,0.027998,2019-05-29 06:11:58
aq,2,4c835d28aa7ca602,0000044b60b2c25d,0.0494,2019-05-29 06:11:58
aq,2,16a2706b3eb27547,0000044b60b2c25d,0.040761,2019-05-29 06:11:58
